feature_index,importance
0,1.8507652992965273e-05
1,6.591111165380467e-07
2,0.0
3,0.0007731728449643767
4,0.0
5,3.372208943786015e-06
6,0.0
7,0.00028161192221855496
8,0.0
9,0.0025358544387225207
10,4.0772265007164533e-08
11,0.00010479669342754144
12,0.0
13,6.269560460949558e-06
14,2.1158808425199738e-05
15,1.0312445570096788e-06
16,0.00012813142236389245
17,2.0501150514323397e-06
18,3.7090219461925295e-06
19,2.5721826366927622e-06
20,8.378541334845356e-07
21,0.00019848164384641913
22,0.0
23,8.101804079403544e-06
24,2.438995983548823e-05
25,0.0008665697079518124
26,0.002832948114937361
27,0.0
28,5.3577963410734224e-05
29,0.0034306261777950564
30,2.3029956633219232e-07
31,0.0
32,5.174801268278983e-06
33,0.0
34,6.830350163386904e-06
35,0.0010971286551276732
36,6.273814438436549e-06
37,0.0
38,0.0
39,0.0
40,2.94615047346254e-06
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,3.982738721416138e-05
47,0.0
48,9.450227023706684e-06
49,0.000984469710130245
50,0.0006931244663621001
51,0.0
52,0.0006374840819038516
53,1.1576077348596224e-06
54,0.0
55,4.315254354194451e-06
56,0.00017689345040892792
57,0.0016332213506331272
58,0.0
59,0.0025440126120876106
60,1.570962625587666e-05
61,1.6246232975320456e-07
62,0.00016049740857305528
63,0.0
64,5.830459539867357e-06
65,1.14441793090387e-05
66,0.0062737160699844795
67,4.557464136830625e-06
68,0.0002162409236816786
69,0.0
70,0.0
71,0.0
72,0.00019695884091806184
73,0.0
74,6.253796216758062e-05
75,1.0268885331602502e-06
76,0.0
77,0.0
78,5.928357936915796e-06
79,0.0
80,0.0
81,0.0006264060806869656
82,6.311390829758076e-05
83,4.030714121972375e-07
84,0.0
85,6.539150118085741e-07
86,0.0
87,0.0
88,1.3546627949368858e-06
89,0.0
90,8.117121623229908e-07
91,0.002005811267654323
92,0.0014663895083618875
93,9.234173592009394e-05
94,0.00012824404322911954
95,0.00035547233828280434
96,0.0
97,3.4670195570456298e-06
98,0.0
99,3.153219997976905e-07
100,0.0001836019221443985
101,0.0
102,1.2179958491826862e-05
103,8.489269346160557e-06
104,0.0017388447337742762
105,3.4607673713261524e-06
106,0.0
107,0.001921436092243333
108,4.353352005616882e-06
109,2.7436515912777183e-06
110,5.557708748686077e-08
111,8.207389287513959e-05
112,2.3780800393706848e-06
113,0.0004710553782551267
114,4.3159317420490884e-05
115,7.099948824219673e-05
